officename,pincode,officeType,Deliverystatus,divisionname,regionname,circlename,Taluk,Districtname,statename,Telephone,Related Suboffice,Related Headoffice,longitude,latitude
Arabic College S.O,560045,S.O,Delivery,Bangalore East,Bangalore HQ,Karnataka,Bangalore North,Bangalore,KARNATAKA,080-25432636,NA,Bangalore G.P.O. ,77.6206,13.0291
Bellandur S.O,560103,S.O,Delivery,Bangalore East,Bangalore HQ,Karnataka,Bangalore South,Bangalore,KARNATAKA,080-28441625,NA,H.A.L II Stage H.O,77.676,12.9298
Domlur S.O,560071,S.O,Delivery,Bangalore East,Bangalore HQ,Karnataka,Bangalore North,Bangalore,KARNATAKA,080-25356966,NA,H.A.L II Stage H.O,77.6359,12.9611
Dr. Shivarama Karanth Nagar S.O,560077,S.O,Delivery,Bangalore East,Bangalore HQ,Karnataka,Bangalore North,Bangalore,KARNATAKA,NA,NA,Bangalore G.P.O. ,77.6293,13.0681
Fraser Town S.O,560005,S.O,Delivery,Bangalore East,Bangalore HQ,Karnataka,Bangalore North,Bangalore,KARNATAKA,080-25485125,NA,Bangalore G.P.O. ,77.6164,13.0005
G.K.V.K. S.O,560065,S.O,Delivery,Bangalore East,Bangalore HQ,Karnataka,Bangalore North,Bangalore,KARNATAKA,080-23621550,NA,R T Nagar H.O,77.5784,13.0781
H.A.L II Stage H.O,560008,H.O,Delivery,Bangalore East,Bangalore HQ,Karnataka,Bangalore North,Bangalore,KARNATAKA,080-25270153,NA,NA,77.6427,12.9686
HighCourt S.O,560001,S.O,Non-Delivery,Bangalore East,Bangalore HQ,Karnataka,Bangalore North,Bangalore,KARNATAKA,080-22862310,NA,Bangalore G.P.O. ,77.5915,12.9773
Jeevanbhimanagar S.O,560075,S.O,Non-Delivery,Bangalore East,Bangalore HQ,Karnataka,Bangalore North,Bangalore,KARNATAKA,080-25264846,NA,H.A.L II Stage H.O,77.6535,12.9695
Kothanur S.O,560077,S.O,Non-Delivery,Bangalore East,Bangalore HQ,Karnataka,Bangalore North,Bangalore,KARNATAKA,080-28465057,NA,Bangalore G.P.O. ,77.6478,13.0614
Mahatma Gandhi Road S.O,560001,S.O,Non-Delivery,Bangalore East,Bangalore HQ,Karnataka,Bangalore North,Bangalore,KARNATAKA,080-25587270,NA,Bangalore G.P.O. ,77.61,12.9739
Marathahalli Colony S.O,560037,S.O,Delivery,Bangalore East,Bangalore HQ,Karnataka,Bangalore North,Bangalore,KARNATAKA,080-25227887,NA,H.A.L II Stage H.O,77.688,12.9559
NAL S.O,560017,S.O,Non-Delivery,Bangalore East,Bangalore HQ,Karnataka,Bangalore North,Bangalore,KARNATAKA,080-25203596,NA,H.A.L II Stage H.O,77.6502,12.9596
New Thippasandra S.O,560075,S.O,Delivery,Bangalore East,Bangalore HQ,Karnataka,Bangalore North,Bangalore,KARNATAKA,080-25297196,NA,H.A.L II Stage H.O,77.6572,12.9716
Sadashivanagar S.O,560080,S.O,Delivery,Bangalore East,Bangalore HQ,Karnataka,Bangalore North,Bangalore,KARNATAKA,080-23611278,NA,R T Nagar H.O,77.5772,13.0094
